date,Name,Reference,isPartial
2018-06-21,100,20,False
2018-06-22,97,20,False
2018-06-23,81,22,False
2018-06-24,85,23,False
2018-06-25,81,21,False
2018-06-26,82,21,False
2018-06-27,82,19,False
2018-06-28,86,19,False
2018-06-29,88,21,False
2018-06-30,89,23,False
2018-07-01,86,23,False
2018-07-02,92,18,False
2018-07-03,85,20,False
2018-07-04,92,20,False
2018-07-05,87,19,False
2018-07-06,95,19,False
2018-07-07,85,22,False
2018-07-08,99,22,False
2018-07-09,88,20,False
2018-07-10,82,20,False
2018-07-11,82,18,False
2018-07-12,83,20,False
2018-07-13,86,22,False
2018-07-14,88,23,False
2018-07-15,93,25,False
2018-07-16,84,21,False
2018-07-17,84,20,False
2018-07-18,84,21,False
2018-07-19,97,19,False
date,Neymar,bonsai,isPartial
2018-06-21,23,3,False
2018-06-22,78,3,False
2018-06-23,44,3,False
2018-06-24,29,3,False
2018-06-25,22,3,False
2018-06-26,19,3,False
2018-06-27,47,3,False
2018-06-28,25,2,False
2018-06-29,20,3,False
2018-06-30,29,3,False
2018-07-01,27,3,False
2018-07-02,96,2,False
2018-07-03,75,3,False
2018-07-04,43,3,False
2018-07-05,40,2,False
2018-07-06,100,3,False
2018-07-07,71,3,False
2018-07-08,37,3,False
2018-07-09,28,3,False
2018-07-10,36,3,False
2018-07-11,29,2,False
2018-07-12,21,3,False
2018-07-13,23,3,False
2018-07-14,25,3,False
2018-07-15,27,3,False
2018-07-16,19,3,False
2018-07-17,16,3,False
2018-07-18,14,3,False
2018-07-19,15,2,False
date,Oscar,bonsai,isPartial
2018-06-21,71,17,False
2018-06-22,76,17,False
2018-06-23,77,19,False
2018-06-24,76,20,False
2018-06-25,82,18,False
2018-06-26,76,18,False
2018-06-27,70,16,False
2018-06-28,68,16,False
2018-06-29,76,18,False
2018-06-30,100,20,False
2018-07-01,81,19,False
2018-07-02,73,15,False
2018-07-03,68,17,False
2018-07-04,71,17,False
2018-07-05,71,16,False
2018-07-06,88,16,False
2018-07-07,79,19,False
2018-07-08,80,19,False
2018-07-09,73,17,False
2018-07-10,74,17,False
2018-07-11,71,15,False
2018-07-12,71,17,False
2018-07-13,76,19,False
2018-07-14,78,19,False
2018-07-15,71,21,False
2018-07-16,72,18,False
2018-07-17,78,17,False
2018-07-18,72,18,False
2018-07-19,72,16,False
date,Júlio César,bonsai,isPartial
2018-06-21,0,81,False
2018-06-22,2,79,False
2018-06-23,0,89,False
2018-06-24,1,93,False
2018-06-25,2,83,False
2018-06-26,1,82,False
2018-06-27,1,75,False
2018-06-28,1,74,False
2018-06-29,1,84,False
2018-06-30,1,92,False
2018-07-01,0,90,False
2018-07-02,1,73,False
2018-07-03,1,79,False
2018-07-04,1,78,False
2018-07-05,0,74,False
2018-07-06,1,76,False
2018-07-07,2,87,False
2018-07-08,1,89,False
2018-07-09,1,80,False
2018-07-10,1,80,False
2018-07-11,1,72,False
2018-07-12,1,81,False
2018-07-13,1,88,False
2018-07-14,2,90,False
2018-07-15,1,100,False
2018-07-16,1,85,False
2018-07-17,0,78,False
2018-07-18,0,83,False
2018-07-19,1,74,False
date,Dante,bonsai,isPartial
2018-06-21,77,51,False
2018-06-22,67,49,False
2018-06-23,67,55,False
2018-06-24,62,57,False
2018-06-25,63,51,False
2018-06-26,64,51,False
2018-06-27,67,47,False
2018-06-28,81,46,False
2018-06-29,81,52,False
2018-06-30,70,57,False
2018-07-01,59,56,False
2018-07-02,64,45,False
2018-07-03,75,49,False
2018-07-04,94,48,False
2018-07-05,89,46,False
2018-07-06,76,47,False
2018-07-07,57,54,False
2018-07-08,64,55,False
2018-07-09,62,49,False
2018-07-10,62,50,False
2018-07-11,61,45,False
2018-07-12,60,50,False
2018-07-13,77,55,False
2018-07-14,100,56,False
2018-07-15,73,62,False
2018-07-16,73,52,False
2018-07-17,72,48,False
2018-07-18,67,52,False
2018-07-19,60,46,False
date,Maxwell,bonsai,isPartial
2018-06-21,87,77,False
2018-06-22,80,77,False
2018-06-23,78,88,False
2018-06-24,79,94,False
2018-06-25,88,83,False
2018-06-26,88,75,False
2018-06-27,78,72,False
2018-06-28,85,76,False
2018-06-29,83,77,False
2018-06-30,72,84,False
2018-07-01,80,86,False
2018-07-02,79,72,False
2018-07-03,81,73,False
2018-07-04,81,75,False
2018-07-05,88,75,False
2018-07-06,95,72,False
2018-07-07,81,87,False
2018-07-08,84,91,False
2018-07-09,100,76,False
2018-07-10,86,78,False
2018-07-11,82,71,False
2018-07-12,88,78,False
2018-07-13,84,82,False
2018-07-14,85,88,False
2018-07-15,78,91,False
2018-07-16,86,81,False
