Name;Sum GoogleTrends
Michael Barrantes;0
Waylon Francis;0
Esteban Granados;0
Randall Brenes;2
Júnior Díaz;0
Cristian Gamboa;14
Yeltsin Tejeda;5
Patrick Pemberton;1
Roy Miller;21
Diego Calvo;0
Marco Ureña;9
José Miguel Cubero;0
Daniel Cambronero;0
Joe Hart;293
Glen Johnson;26
Leighton Baines;5
Steven Gerrard;212
Gary Cahill;93
Phil Jagielka;0
Jack Wilshere;475
Frank Lampard;167
Daniel Sturridge;74
Wayne Rooney;946
Danny Welbeck;96
Chris Smalling;14
Ben Foster;129
Jordan Henderson;404
Alex Oxlade-Chamberlain;18
Phil Jones;142
James Milner;33
Rickie Lambert;2
Raheem Sterling;492
Adam Lallana;31
Ross Barkley;32
Fraser Forster;11
Luke Shaw;110
Gianluigi Buffon;282
Mattia De Sciglio;1
Giorgio Chiellini;22
Matteo Darmian;13
Thiago Motta;34
Antonio Candreva;5
Ignazio Abate;1
Claudio Marchisio;32
Mario Balotelli;310
Antonio Cassano;23
Alessio Cerci;4
Salvatore Sirigu;1
Mattia Perin;48
Alberto Aquilani;2
Andrea Barzagli;8
Daniele De Rossi;19
Ciro Immobile;71
Marco Parolo;1
Leonardo Bonucci;41
Gabriel Paletta;1
Andrea Pirlo;95
Lorenzo Insigne;35
Marco Verratti;51
Fernando Muslera;194
Diego Lugano;43
Diego Godín;35
Jorge Fucile;0
Walter Gargano;1
Álvaro Pereira;1
Cristian Rodríguez;42
Abel Hernández;1
Luis Suárez;166
Diego Forlán;8
Cristhian Stuani;56
Rodrigo Muñoz;1
José Giménez;29
Nicolás Lodeiro;0
Diego Pérez;0
Maxi Pereira;16
Egidio Arévalo Ríos;0
Gastón Ramírez;0
Sebastián Coates;11
Álvaro González;0
Edinson Cavani;299
Martín Cáceres;43
Martín Silva;10
Máximo Banguera;0
Jorge Guagua;0
Frickson Erazo;0
Juan Carlos Paredes;0
Renato Ibarra;0
Christian Noboa;0
Jefferson Montero;4
Édison Méndez;0
Joao Rojas;48
Walter Ayoví;0
Felipe Caicedo;16
Adrián Bone;0
Enner Valencia;12
Oswaldo Minda;0
Michael Arroyo;6
Antonio Valencia;99
Jaime Ayoví;0
Óscar Bagüí;0
Luis Saritama;0
Fidel Martínez;0
Gabriel Achilier;0
Alexander Domínguez;0
Carlos Gruezo;1
Hugo Lloris;420
Mathieu Debuchy;5
Patrice Evra;144
Raphaël Varane;208
Mamadou Sakho;30
Yohan Cabaye;27
Rémy Cabella;5
Mathieu Valbuena;25
Olivier Giroud;500
Karim Benzema;464
