date,Name,Reference,isPartial
date,Fred,Brazil football,isPartial
2018-06-09,96,11,False
2018-06-10,100,25,False
2018-06-11,82,12,False
2018-06-12,78,11,False
2018-06-13,83,13,False
2018-06-14,80,20,False
2018-06-15,78,15,False
2018-06-16,87,21,False
2018-06-17,94,70,False
2018-06-18,78,22,False
2018-06-19,73,10,False
2018-06-20,77,9,False
2018-06-21,91,11,False
2018-06-22,91,49,False
2018-06-23,82,15,False
2018-06-24,81,10,False
2018-06-25,74,8,False
2018-06-26,74,10,False
2018-06-27,77,46,False
2018-06-28,76,19,False
2018-06-29,85,8,False
2018-06-30,82,14,False
2018-07-01,84,19,False
2018-07-02,83,62,False
2018-07-03,77,21,False
2018-07-04,86,12,False
2018-07-05,80,11,False
2018-07-06,88,61,False
2018-07-07,83,28,False
date,Neymar,Brazil football,isPartial
2018-06-09,16,2,False
2018-06-10,20,4,False
2018-06-11,15,2,False
2018-06-12,13,2,False
2018-06-13,14,2,False
2018-06-14,15,3,False
2018-06-15,19,2,False
2018-06-16,24,3,False
2018-06-17,81,10,False
2018-06-18,36,3,False
2018-06-19,37,1,False
2018-06-20,29,1,False
2018-06-21,24,2,False
2018-06-22,78,7,False
2018-06-23,43,2,False
2018-06-24,28,1,False
2018-06-25,21,1,False
2018-06-26,19,1,False
2018-06-27,48,6,False
2018-06-28,26,3,False
2018-06-29,20,1,False
2018-06-30,30,2,False
2018-07-01,26,3,False
2018-07-02,100,9,False
2018-07-03,75,3,False
2018-07-04,43,2,False
2018-07-05,39,2,False
2018-07-06,99,8,False
2018-07-07,73,4,False
date,Oscar,Brazil football,isPartial
2018-06-09,81,10,False
2018-06-10,82,23,False
2018-06-11,78,11,False
2018-06-12,77,10,False
2018-06-13,75,13,False
2018-06-14,71,19,False
2018-06-15,84,14,False
2018-06-16,79,20,False
2018-06-17,95,65,False
2018-06-18,77,20,False
2018-06-19,72,10,False
2018-06-20,77,8,False
2018-06-21,73,10,False
2018-06-22,76,46,False
2018-06-23,79,14,False
2018-06-24,79,10,False
2018-06-25,81,7,False
2018-06-26,78,9,False
2018-06-27,73,43,False
2018-06-28,70,18,False
2018-06-29,76,8,False
2018-06-30,100,13,False
2018-07-01,83,17,False
2018-07-02,80,58,False
2018-07-03,73,19,False
2018-07-04,74,11,False
2018-07-05,76,10,False
2018-07-06,92,57,False
2018-07-07,82,26,False
date,Júlio César,Brazil football,isPartial
2018-06-09,0,15,False
2018-06-10,0,36,False
2018-06-11,0,17,False
2018-06-12,0,16,False
2018-06-13,0,19,False
2018-06-14,0,29,False
2018-06-15,1,22,False
2018-06-16,0,30,False
2018-06-17,1,100,False
2018-06-18,0,31,False
2018-06-19,0,15,False
2018-06-20,0,12,False
2018-06-21,0,16,False
2018-06-22,0,71,False
2018-06-23,0,22,False
2018-06-24,1,15,False
2018-06-25,1,11,False
2018-06-26,0,14,False
2018-06-27,0,65,False
2018-06-28,0,28,False
2018-06-29,0,12,False
2018-06-30,0,20,False
2018-07-01,0,27,False
2018-07-02,0,89,False
2018-07-03,0,30,False
2018-07-04,0,17,False
2018-07-05,0,16,False
2018-07-06,0,87,False
2018-07-07,1,40,False
date,Dante,Brazil football,isPartial
2018-06-09,33,15,False
2018-06-10,40,36,False
2018-06-11,50,16,False
2018-06-12,44,16,False
2018-06-13,39,19,False
2018-06-14,40,26,False
2018-06-15,38,23,False
2018-06-16,39,28,False
2018-06-17,37,100,False
2018-06-18,37,31,False
2018-06-19,34,14,False
2018-06-20,47,12,False
2018-06-21,38,16,False
2018-06-22,35,71,False
2018-06-23,33,23,False
2018-06-24,34,15,False
2018-06-25,32,11,False
2018-06-26,33,14,False
2018-06-27,34,63,False
2018-06-28,39,28,False
2018-06-29,42,12,False
2018-06-30,37,19,False
2018-07-01,35,28,False
2018-07-02,34,89,False
2018-07-03,36,26,False
2018-07-04,48,16,False
2018-07-05,46,16,False
2018-07-06,41,84,False
2018-07-07,33,43,False
date,Maxwell,Brazil football,isPartial
2018-06-09,29,15,False
2018-06-10,30,36,False
2018-06-11,33,16,False
2018-06-12,30,16,False
2018-06-13,31,19,False
2018-06-14,29,26,False
2018-06-15,28,23,False
2018-06-16,27,28,False
2018-06-17,28,100,False
2018-06-18,29,31,False
2018-06-19,31,14,False
2018-06-20,31,12,False
2018-06-21,30,16,False
2018-06-22,27,71,False
2018-06-23,26,23,False
2018-06-24,27,15,False
2018-06-25,29,11,False
2018-06-26,30,14,False
2018-06-27,29,63,False
2018-06-28,28,28,False
2018-06-29,29,12,False
2018-06-30,24,19,False
2018-07-01,27,28,False
2018-07-02,28,89,False
2018-07-03,28,26,False
2018-07-04,27,16,False
2018-07-05,29,16,False
2018-07-06,31,84,False
2018-07-07,28,43,False
date,Henrique,Brazil football,isPartial
2018-06-09,30,15,False
2018-06-10,28,36,False
2018-06-11,28,17,False
2018-06-12,34,16,False
2018-06-13,32,19,False
2018-06-14,31,29,False
2018-06-15,28,22,False
2018-06-16,28,30,False
2018-06-17,25,100,False
2018-06-18,25,31,False
2018-06-19,27,15,False
2018-06-20,27,12,False
2018-06-21,24,16,False
2018-06-22,24,71,False
2018-06-23,28,22,False
2018-06-24,25,15,False
2018-06-25,25,11,False
2018-06-26,28,14,False
2018-06-27,21,65,False
2018-06-28,24,28,False
2018-06-29,28,12,False
2018-06-30,25,20,False
2018-07-01,26,27,False
2018-07-02,24,89,False
2018-07-03,25,30,False
2018-07-04,28,17,False
2018-07-05,27,16,False
2018-07-06,24,87,False
2018-07-07,22,40,False
date,Ramires,Brazil football,isPartial
2018-06-09,1,15,False
2018-06-10,2,36,False
2018-06-11,2,17,False
2018-06-12,2,16,False
2018-06-13,2,19,False
2018-06-14,3,29,False
2018-06-15,2,22,False
2018-06-16,3,30,False
2018-06-17,3,100,False
2018-06-18,2,31,False
2018-06-19,2,15,False
2018-06-20,2,12,False
2018-06-21,2,16,False
2018-06-22,4,71,False
2018-06-23,2,22,False
2018-06-24,2,15,False
2018-06-25,2,11,False
2018-06-26,2,14,False
2018-06-27,3,65,False
2018-06-28,2,28,False
2018-06-29,1,12,False
2018-06-30,1,20,False
2018-07-01,3,27,False
2018-07-02,2,89,False
2018-07-03,2,30,False
2018-07-04,3,17,False
2018-07-05,2,16,False
2018-07-06,3,87,False
2018-07-07,1,40,False
date,Luiz Gustavo,Brazil football,isPartial
2018-06-09,1,15,False
2018-06-10,1,36,False
2018-06-11,1,17,False
2018-06-12,1,16,False
2018-06-13,1,19,False
2018-06-14,1,29,False
2018-06-15,1,22,False
2018-06-16,0,30,False
2018-06-17,2,100,False
2018-06-18,1,31,False
2018-06-19,1,15,False
2018-06-20,1,12,False
2018-06-21,1,16,False
2018-06-22,1,71,False
2018-06-23,0,22,False
2018-06-24,0,15,False
2018-06-25,1,11,False
2018-06-26,2,14,False
2018-06-27,1,65,False
2018-06-28,1,28,False
2018-06-29,1,12,False
2018-06-30,1,20,False
2018-07-01,1,27,False
2018-07-02,1,89,False
2018-07-03,1,30,False
2018-07-04,1,17,False
2018-07-05,1,16,False
2018-07-06,1,87,False
2018-07-07,1,40,False
date,Hernanes,Brazil football,isPartial
2018-06-09,0,15,False
2018-06-10,0,36,False
2018-06-11,0,17,False
2018-06-12,0,16,False
2018-06-13,0,19,False
2018-06-14,0,29,False
2018-06-15,1,22,False
2018-06-16,0,30,False
2018-06-17,0,100,False
2018-06-18,0,31,False
2018-06-19,0,15,False
2018-06-20,1,12,False
2018-06-21,0,16,False
2018-06-22,0,71,False
2018-06-23,0,22,False
2018-06-24,0,15,False
2018-06-25,1,11,False
2018-06-26,1,14,False
2018-06-27,0,65,False
2018-06-28,1,28,False
2018-06-29,1,12,False
2018-06-30,0,20,False
2018-07-01,0,27,False
2018-07-02,0,89,False
2018-07-03,1,30,False
2018-07-04,0,17,False
2018-07-05,0,16,False
2018-07-06,13,87,False
2018-07-07,7,40,False
date,Willian,Brazil football,isPartial
2018-06-09,10,15,False
2018-06-10,11,36,False
2018-06-11,9,17,False
2018-06-12,8,16,False
2018-06-13,7,19,False
2018-06-14,15,29,False
2018-06-15,8,22,False
2018-06-16,7,30,False
2018-06-17,35,100,False
2018-06-18,11,31,False
2018-06-19,7,15,False
2018-06-20,6,12,False
2018-06-21,6,16,False
2018-06-22,24,71,False
2018-06-23,9,22,False
2018-06-24,7,15,False
2018-06-25,8,11,False
2018-06-26,6,14,False
2018-06-27,20,65,False
2018-06-28,8,28,False
2018-06-29,9,12,False
2018-06-30,11,20,False
2018-07-01,8,27,False
2018-07-02,63,89,False
2018-07-03,27,30,False
2018-07-04,21,17,False
2018-07-05,16,16,False
2018-07-06,29,87,False
2018-07-07,15,40,False
date,Bernard,Brazil football,isPartial
2018-06-09,64,15,False
2018-06-10,76,36,False
2018-06-11,76,17,False
2018-06-12,90,16,False
2018-06-13,72,19,False
2018-06-14,71,29,False
2018-06-15,69,22,False
2018-06-16,69,30,False
2018-06-17,64,100,False
2018-06-18,66,31,False
2018-06-19,65,15,False
2018-06-20,67,12,False
2018-06-21,76,16,False
2018-06-22,71,71,False
2018-06-23,70,22,False
2018-06-24,65,15,False
2018-06-25,73,11,False
2018-06-26,75,14,False
2018-06-27,65,65,False
2018-06-28,70,28,False
2018-06-29,66,12,False
2018-06-30,62,20,False
2018-07-01,60,27,False
2018-07-02,69,89,False
2018-07-03,67,30,False
2018-07-04,69,17,False
2018-07-05,69,16,False
2018-07-06,69,87,False
2018-07-07,68,40,False
date,Jô,Brazil football,isPartial
2018-06-09,1,15,False
2018-06-10,2,36,False
2018-06-11,1,17,False
2018-06-12,1,16,False
2018-06-13,1,19,False
2018-06-14,2,29,False
2018-06-15,1,22,False
2018-06-16,1,30,False
2018-06-17,1,100,False
2018-06-18,1,31,False
2018-06-19,1,15,False
2018-06-20,1,12,False
2018-06-21,1,16,False
2018-06-22,1,71,False
2018-06-23,1,22,False
2018-06-24,1,15,False
2018-06-25,1,11,False
2018-06-26,1,14,False
2018-06-27,1,65,False
2018-06-28,1,28,False
2018-06-29,1,12,False
2018-06-30,1,20,False
2018-07-01,1,27,False
2018-07-02,1,89,False
2018-07-03,2,30,False
2018-07-04,2,17,False
2018-07-05,1,16,False
2018-07-06,1,87,False
2018-07-07,1,40,False
date,Victor,Brazil football,isPartial
2018-06-09,79,11,False
2018-06-10,80,25,False
2018-06-11,84,12,False
2018-06-12,87,11,False
2018-06-13,86,13,False
2018-06-14,80,20,False
2018-06-15,83,15,False
2018-06-16,95,21,False
2018-06-17,73,69,False
2018-06-18,88,22,False
2018-06-19,81,10,False
2018-06-20,81,8,False
2018-06-21,80,11,False
2018-06-22,92,49,False
2018-06-23,86,15,False
2018-06-24,78,10,False
2018-06-25,81,8,False
2018-06-26,100,10,False
2018-06-27,82,45,False
2018-06-28,80,19,False
2018-06-29,85,8,False
2018-06-30,80,14,False
2018-07-01,79,19,False
2018-07-02,80,62,False
2018-07-03,81,21,False
2018-07-04,88,12,False
2018-07-05,89,11,False
2018-07-06,78,60,False
2018-07-07,75,28,False
date,Maicon,Brazil football,isPartial
2018-06-09,5,15,False
2018-06-10,4,36,False
2018-06-11,3,17,False
2018-06-12,5,16,False
2018-06-13,3,19,False
2018-06-14,4,29,False
2018-06-15,4,22,False
2018-06-16,4,30,False
2018-06-17,2,100,False
2018-06-18,3,31,False
2018-06-19,3,15,False
2018-06-20,4,12,False
2018-06-21,2,16,False
2018-06-22,3,71,False
2018-06-23,2,22,False
2018-06-24,3,15,False
2018-06-25,3,11,False
2018-06-26,3,14,False
2018-06-27,4,65,False
2018-06-28,4,28,False
2018-06-29,3,12,False
2018-06-30,2,20,False
2018-07-01,3,27,False
2018-07-02,3,89,False
2018-07-03,2,30,False
2018-07-04,3,17,False
2018-07-05,2,16,False
2018-07-06,2,87,False
2018-07-07,3,40,False
date,Loïc Feudjou,Cameroon football,isPartial
2018-06-09,0,48,False
2018-06-10,0,32,False
2018-06-11,0,35,False
2018-06-12,0,59,False
2018-06-13,0,38,False
2018-06-14,0,40,False
2018-06-15,0,58,False
2018-06-16,0,80,False
2018-06-17,0,52,False
2018-06-18,0,40,False
2018-06-19,0,93,False
2018-06-20,0,86,False
2018-06-21,0,59,False
2018-06-22,0,61,False
2018-06-23,0,63,False
2018-06-24,0,99,False
2018-06-25,0,36,False
2018-06-26,0,62,False
2018-06-27,0,45,False
2018-06-28,0,100,False
2018-06-29,0,39,False
2018-06-30,0,58,False
2018-07-01,0,62,False
2018-07-02,0,23,False
2018-07-03,0,54,False
2018-07-04,0,33,False
2018-07-05,0,28,False
2018-07-06,0,37,False
