Nation;Name;Age;Position;Wiki;Matches;
Brazil;Jefferson;31;GK;https://en.wikipedia.org/wiki/Jefferson_(footballer,_born_1983);9;
Brazil;Dani Alves;31;DF;https://en.wikipedia.org/wiki/Dani_Alves;75;
Brazil;Thiago Silva;29;DF;https://en.wikipedia.org/wiki/Thiago_Silva;46;
Brazil;David Luiz;27;DF;https://en.wikipedia.org/wiki/David_Luiz;36;
Brazil;Fernandinho;29;MF;https://en.wikipedia.org/wiki/Fernandinho_(footballer);7;
Brazil;Marcelo;26;DF;https://en.wikipedia.org/wiki/Marcelo_(footballer,_born_1988);31;
Brazil;Hulk;27;FW;https://en.wikipedia.org/wiki/Hulk_(footballer);35;
Brazil;Paulinho;25;MF;https://en.wikipedia.org/wiki/Paulinho_(footballer);26;
Brazil;Fred;30;FW;https://en.wikipedia.org/wiki/Fred_(footballer,_born_1983);33;
Brazil;Neymar;22;FW;https://en.wikipedia.org/wiki/Neymar;49;
Brazil;Oscar;22;MF;https://en.wikipedia.org/wiki/Oscar_(footballer,_born_1991);31;
Brazil;Júlio César;34;GK;https://en.wikipedia.org/wiki/J%C3%BAlio_C%C3%A9sar_(football_goalkeeper,_born_1979);80;
Brazil;Dante;30;DF;https://en.wikipedia.org/wiki/Dante_(footballer);12;
Brazil;Maxwell;32;DF;https://en.wikipedia.org/wiki/Maxwell_(footballer);9;
Brazil;Henrique;27;DF;https://en.wikipedia.org/wiki/Henrique_(footballer,_born_1986);5;
Brazil;Ramires;27;MF;https://en.wikipedia.org/wiki/Ramires;42;
Brazil;Luiz Gustavo;26;MF;https://en.wikipedia.org/wiki/Luiz_Gustavo;19;
Brazil;Hernanes;29;MF;https://en.wikipedia.org/wiki/Hernanes;24;
Brazil;Willian;25;MF;https://en.wikipedia.org/wiki/Willian_(footballer);7;
Brazil;Bernard;21;FW;https://en.wikipedia.org/wiki/Bernard_(footballer);11;
Brazil;Jô;27;FW;https://en.wikipedia.org/wiki/J%C3%B4;17;
Brazil;Victor;31;GK;https://en.wikipedia.org/wiki/Victor_Leandro_Bagy;6;
Brazil;Maicon;32;DF;https://en.wikipedia.org/wiki/Maicon_Sisenando;72;
